url,year,Month,Day,publication_date,fractional_year,model_name,extra_data,top_1_error,top_5_error,final_compute_estimate,nr_training_images,parameter_count,reimplementation,input_size_test
https://arxiv.org/abs/1406.4729,2014,6,18,6/18/2014,114.47,SPPNet,0,27.86,NA,6.11E+18,1.28E+06,1.39E+08,0,224
https://arxiv.org/abs/1409.1556,2014,9,4,09/04/2014,114.68,"VGG-A,A-LRN",0,29.7,9.4,2.27E+19,1.28E+06,1.33E+08,0,256
https://arxiv.org/abs/1409.1556,2014,9,4,09/04/2014,114.68,VGG-19,0,25.5,8,1.02E+19,1.28E+06,1.44E+08,0,384
https://arxiv.org/abs/1409.1557,2014,9,4,09/04/2014,114.68,VGG-B,0,28.7,9.4,2.28E+19,1.28E+06,1.34E+08,0,256
https://arxiv.org/abs/1409.1558,2014,9,4,09/04/2014,114.68,VGG-C,0,28.1,9.4,2.27E+19,1.28E+06,1.33E+08,0,256
https://arxiv.org/abs/1502.01852,2015,2,6,02/06/2015,115.1,"MSRA (C, PReLU)",0,21.59,5.71,1.98E+19,1.28E+06,3.31E+08,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-50,0,22.85,4.49,4.04E+18,1.28E+06,2.56E+07,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-152,0,19.38,4.49,1.11E+19,1.28E+06,6.00E+07,0,224
https://arxiv.org/abs/1512.03385,2015,12,10,12/10/2015,115.94,ResNet-101,0,21.75,4.49,8.07E+18,1.28E+06,4.26E+07,0,224
https://arxiv.org/abs/1610.02357,2016,10,7,10/07/2016,116.77,Xception,0,21,5.5,1.20E+18,1.28E+06,2.29E+07,0,224
https://arxiv.org/abs/1611.05431,2016,11,16,11/16/2016,116.88,ResNeXt-101 64x4,0,19.1,4.4,1.50E+19,1.28E+06,8.36E+07,0,224
https://arxiv.org/abs/1611.05725,2016,11,17,11/17/2016,116.88,Very Deep PolyNet,0,18.71,4.25,1.33E+19,1.28E+06,9.20E+07,0,320
https://arxiv.org/abs/1707.07012,2018,4,21,4/21/2018,118.31,NASNet-A,1,17.3,3.8,4.90E+20,1.25E+06,8.89E+07,0,
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,SE-ResNet-50,0,23.29,,1.49E+18,1.28E+06,2.80E+07,0,299
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,SE-ResNet-152,0,21.57,,4.35E+18,1.28E+06,6.70E+07,0,299
https://arxiv.org/abs/1709.01507,2017,9,5,09/05/2017,117.68,Inception ResNet (SENet),0,19.8,4.79,4.52E+18,1.28E+06,,0,299
https://arxiv.org/abs/1802.01548,2018,2,5,02/05/2018,118.1,AmoebaNet-A,0,16.1,3.4,3.85E+20,1.28E+06,4.69E+08,0,224
https://arxiv.org/abs/1903.11059,2019,3,26,3/26/2019,119.24,AlphaX-1,0,24.5,7.8,2.42E+18,1.28E+06,5.40E+06,0,224
https://arxiv.org/abs/1904.05049,2019,4,10,04/10/2019,119.28,Oct-ResNet-152 (alpha=0.5),0,17.7,4,5.86E+18,1.28E+06,6.02E+07,0,320
https://arxiv.org/abs/1908.01314,2019,8,4,08/04/2019,119.59,MoGA-A,0,24.1,7.2,5.10E+18,1.28E+06,5.10E+06,0,224
https://arxiv.org/abs/1911.04252,2019,11,11,11/11/2019,119.86,NoisyStudent (EfficientNet-L2),1,11.6,1.3,1.84E+22,3.01E+08,4.80E+08,0,299
https://arxiv.org/abs/1911.04252,2019,11,11,11/11/2019,119.86,NoisyStudent (EfficientNet-L2),1,11.6,1.3,,8.22E+07,4.80E+08,0,299
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-S (ILSVRC-2012),0,18.7,,,1.28E+06,9.28E+08,0,
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-M (ImageNet-21k),1,14.61,,,1.52E+07,,0,
https://arxiv.org/abs/1912.11370,2019,12,24,12/24/2019,119.98,BiT-L,1,12.46,,7.91E+20,3.00E+08,9.28E+08,0,
https://arxiv.org/abs/2001.06570,2020,1,18,1/18/2020,120.05,"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",0,17.15,3.56,1.21E+19,1.28E+06,8.82E+07,0,320
https://arxiv.org/abs/2001.06570,2020,1,18,1/18/2020,120.05,"Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",0,18.37,4.34,6.90E+18,1.28E+06,8.82E+07,0,224
https://arxiv.org/abs/2003.11236,2020,3,25,3/25/2020,120.24,GreedyNAS-B,0,22.9,NA,2.97E+18,1.28E+06,5.20E+06,0,224
https://arxiv.org/abs/2003.13630,2020,3,30,3/30/2020,120.25,TResNet-XL,0,15.7,NA,6.58E+20,1.28E+06,7.70E+07,0,448
https://arxiv.org/abs/2003.13678,2020,3,30,3/30/2020,120.25,REGNETX-32GF,0,19.5,NA,1.15E+19,1.28E+06,3.92E+07,0,224
https://arxiv.org/abs/2004.08955,2020,4,19,4/19/2020,120.3,ResNeSt-101,0,17,NA,1.41E+20,1.28E+06,4.80E+07,0,224
https://arxiv.org/abs/2006.11538,2020,6,20,6/20/2020,120.47,PyConvResNet-101,0,19.42,4.28,2.53E+18,1.28E+06,4.23E+07,0,224
https://arxiv.org/abs/2006.13026,2020,6,20,6/20/2020,120.47,Prodpoly-ResNet50,0,22.83,6.44,1.48E+18,1.28E+06,,0,224
https://arxiv.org/abs/2009.14082,2020,9,29,9/29/2020,120.75,iAFF-ResNeXt-50-32x4d,0,20.2,NA,2.64E+18,1.28E+06,3.47E+07,0,224
https://arxiv.org/abs/2010.11929,2020,10,22,10/22/2020,120.81,ViT-H/14,1,11.45,,1.10E+21,3.14E+08,6.32E+08,0,518
https://arxiv.org/abs/2011.14660,2020,11,30,11/30/2020,120.92,"SE-ResNeXt-101, 64x4d, S=2(416px)",0,16.66,3.39,2.82E+19,1.28E+06,9.80E+07,0,416
https://arxiv.org/abs/2012.12877,2020,12,23,12/23/2020,120.98,DeiT-B,0,18.2,NA,1.44E+19,1.28E+06,8.70E+07,0,224
https://arxiv.org/abs/2101.11605,2021,1,27,1/27/2021,121.08,BoTNet T7,0,15.3,3,9.98E+20,1.28E+06,7.51E+07,0,224
https://arxiv.org/abs/2101.11986,2021,1,28,1/28/2021,121.08,T2T-ViTt-24,0,17.4,NA,3.57E+19,1.28E+06,6.44E+07,0,224
https://arxiv.org/abs/2102.05918,2021,2,11,02/11/2021,121.11,ALIGN-Efficient-L2,1,11.36,,,1.80E+09,4.80E+08,0,
https://arxiv.org/abs/2102.08602,2021,2,17,2/17/2021,121.13,LambdaResNet (depth 320),0,15.1,NA,2.07E+20,1.28E+06,4.20E+07,0,320
https://arxiv.org/abs/2102.08602,2021,2,17,2/17/2021,121.13,LambdaResNet (depth 152),0,16.8,NA,3.49E+19,1.28E+06,5.10E+07,0,224
https://arxiv.org/abs/2103.10619,2021,3,19,3/19/2021,121.22,HVT-S-1,0,22,6.17,2.76E+18,1.28E+06,2.17E+07,0,224
https://arxiv.org/abs/2103.10697,2021,3,19,3/19/2021,121.22,ConViT-B+,0,17.5,NA,3.46E+19,1.28E+06,1.52E+08,0,224
https://arxiv.org/abs/2103.11816,2021,3,22,3/22/2021,121.23,CeiT-S (384 finetune res),0,16.7,2.1,1.49E+19,1.28E+06,2.42E+07,0,384
https://arxiv.org/abs/2103.11816,2021,3,22,3/22/2021,121.23,CeiT-S,0,18,2.1,5.18E+18,1.28E+06,2.42E+07,0,224
https://arxiv.org/abs/2103.11886,2021,3,22,3/22/2021,121.23,DeepVit-L*_ 384 (Ours),0,15.7,NA,2.95E+19,1.28E+06,5.80E+07,0,384
https://arxiv.org/abs/2103.11886,2021,3,22,3/22/2021,121.23,DeepVit-L* (Ours),0,16.9,NA,2.95E+19,1.28E+06,5.80E+07,0,224
https://arxiv.org/abs/2103.12731,2021,3,23,3/23/2021,121.23,HaloNet,1,14.2,,4.28E+19,1.52E+07,8.70E+07,0,
https://arxiv.org/abs/2103.14030,2021,3,25,3/25/2021,121.24,SwinV2-G,1,9.83,,1.10E+20,7.12E+07,3.00E+09,0,
https://arxiv.org/abs/2103.14030,2021,3,25,3/25/2021,121.24,Swin-L,1,13.6,NA,3.93E+20,1.52E+07,1.97E+08,0,338
https://arxiv.org/abs/2103.14030,2021,3,25,3/25/2021,121.24,Swin-B,0,16.5,NA,5.78E+19,1.28E+06,1.97E+08,0,338
https://arxiv.org/abs/2103.14030v1,2021,3,25,3/25/2021,121.24,Swin-L,1,13.6,,,1.52E+07,1.97E+08,0,338
https://arxiv.org/abs/2103.14899,2021,3,27,3/27/2021,121.24,CrossViT-18+,0,17.2,NA,1.09E+19,1.28E+06,4.43E+07,0,224
https://arxiv.org/abs/2103.15358,2021,3,29,3/29/2021,121.25,ViL-Base-RPB (Imagenet-21k),1,13.8,NA,1.67E+20,1.52E+07,5.57E+07,0,338
https://arxiv.org/abs/2103.15358,2021,3,29,3/29/2021,121.25,ViL-Base-RPB (Imagenet-1k),0,16.3,NA,7.72E+18,1.28E+06,5.57E+07,0,224
https://arxiv.org/abs/2103.15808,2021,3,29,3/29/2021,121.25,"CvT-W24 (384 res, ImageNet-22k pretrain)",1,12.3,NA,2.47E+21,1.52E+07,2.77E+08,0,384
https://arxiv.org/abs/2103.15808,2021,3,29,3/29/2021,121.25,CvT-21 (384 res),0,16.7,NA,2.87E+19,1.28E+06,3.20E+07,0,384
https://arxiv.org/abs/2103.16302,2021,3,30,3/30/2021,121.25,PiT-B + distill,0,16,NA,1.44E+19,1.28E+06,7.38E+07,0,224
https://arxiv.org/abs/2104.00298,2021,4,1,04/01/2021,121.25,EfficientNet-XL (21k),1,12.7,NA,1.33E+20,1.52E+07,2.08E+08,0,224
https://arxiv.org/abs/2104.00298v3,2021,4,1,04/01/2021,121.25,EfficientNetV2-XL (21k),1,12.7,,,1.52E+07,1.21E+08,0,224
https://arxiv.org/abs/2104.01136,2021,4,2,04/02/2021,121.26,LeViT-384,0,17.4,NA,1.99E+19,1.28E+06,3.91E+07,0,224
https://arxiv.org/abs/2104.05704,2021,4,12,04/12/2021,121.28,CCT-16/7x2,0,19.72,NA,1.27E+19,1.28E+06,2.24E+07,0,224
https://arxiv.org/abs/2104.10858,2021,4,22,4/22/2021,121.31,LV-ViT-M_384,0,14.6,NA,4.86E+19,1.28E+06,5.60E+07,0,384
https://arxiv.org/abs/2104.10858,2021,4,22,4/22/2021,121.31,LV-ViT-M,0,15.9,NA,1.84E+19,1.28E+06,5.60E+07,0,224
https://arxiv.org/abs/2104.10858,2021,4,22,4/22/2021,121.31,LV-ViT-L_512,0,13.6,NA,2.47E+20,1.28E+06,1.50E+08,0,512
https://arxiv.org/abs/2104.10858,2021,4,22,4/22/2021,121.31,LV-ViT-L_448,0,13.8,NA,1.81E+20,1.28E+06,1.50E+08,0,448
https://arxiv.org/abs/2104.12533,2021,4,26,4/26/2021,121.32,Visformer-S,0,17.7,NA,5.64E+18,1.28E+06,4.02E+07,0,224
https://arxiv.org/abs/2104.13840,2021,4,28,4/28/2021,121.33,Twins-SVT-L,0,16.3,NA,1.74E+19,1.28E+06,9.92E+07,0,224
https://arxiv.org/abs/2105.03404,2021,7,5,07/05/2021,121.51,ResMLP-B24/8,1,15.6,NA,4.10E+20,1.52E+07,1.29E+08,0,224
https://arxiv.org/abs/2105.03404,2021,7,5,07/05/2021,121.51,ResMLP-B24 (baseline),0,19,NA,2.70E+19,1.28E+06,1.16E+08,0,224
https://arxiv.org/abs/2105.03889,2021,9,5,09/05/2021,121.68,Conformer-B,0,15.9,NA,2.57E+20,1.28E+06,8.33E+07,0,224
https://arxiv.org/abs/2105.08050,2021,5,17,5/17/2021,121.38,gMLP-B,0,18.4,NA,3.64E+19,1.28E+06,7.30E+07,0,224
https://arxiv.org/abs/2105.12723,2021,5,26,5/26/2021,121.41,Transformer local-attention (NesT-B),0,16.2,NA,2.06E+19,1.28E+06,6.80E+07,0,224
https://arxiv.org/abs/2105.13677,2021,5,28,5/28/2021,121.41,ResT-Large,0,16.4,3.7,9.11E+18,1.28E+06,5.16E+07,0,224
https://arxiv.org/abs/2106.01401,2021,6,2,06/02/2021,121.42,Container,0,17.3,NA,6.22E+18,1.28E+06,2.21E+07,0,224
https://arxiv.org/abs/2106.01548,2021,6,3,06/03/2021,121.43,ResNet-152x2-SAM,0,18.9,NA,1.31E+19,1.28E+06,2.36E+08,0,224
https://arxiv.org/abs/2106.02034,2021,6,3,06/03/2021,121.43,DynamicViT-LV-M/0.8,1,16.1,NA,1.11E+18,1.28E+06,5.71E+07,0,224
https://arxiv.org/abs/2106.03714,2021,7,6,07/06/2021,121.52,Refined-ViT-M,0,15.4,NA,1.56E+19,1.28E+06,5.50E+07,0,384
https://arxiv.org/abs/2106.03714,2021,7,6,07/06/2021,121.52,Refined-ViT-L_448,0,14.1,NA,1.13E+20,1.28E+06,8.10E+10,0,448
https://arxiv.org/abs/2106.03714,2021,7,6,07/06/2021,121.52,Refined-ViT-L_384,0,14.3,NA,7.96E+19,1.28E+06,8.10E+10,0,384
https://arxiv.org/abs/2106.03714,2021,7,6,07/06/2021,121.52,Refined-ViT-L,0,15.1,NA,2.20E+19,1.28E+06,8.10E+07,0,224
https://arxiv.org/abs/2106.04560v1,2021,6,8,06/08/2021,121.44,ViT-G/14,1,9.55,,9.31E+21,3.00E+09,1.84E+09,0,
https://arxiv.org/abs/2106.04803,2021,6,9,06/09/2021,121.44,CoAtNet-7,1,9.12,,8.81E+21,3.30E+09,2.44E+09,0,
https://arxiv.org/abs/2106.04803,2021,6,9,06/09/2021,121.44,CoAtNet-4,1,11.9,,1.28E+21,1.52E+07,2.44E+09,0,
https://arxiv.org/abs/2106.04803,2021,6,9,06/09/2021,121.44,CoAtNet-3 (384),0,14.2,NA,1.24E+20,1.28E+06,1.68E+08,0,384
https://arxiv.org/abs/2106.04803,2021,6,9,06/09/2021,121.44,CoAtNet-3 (224),0,15.5,NA,4.00E+19,1.28E+06,1.68E+08,0,224
https://arxiv.org/abs/2106.05974v1,2021,6,10,06/10/2021,121.44,ViT-MoE-L/16 (Every-2),1,12.59,,3.70E+21,3.06E+08,3.40E+09,0,
https://arxiv.org/abs/2106.05974v1,2021,6,10,06/10/2021,121.44,ViT-MoE-H/14 (Last-5),1,11.27,,8.50E+21,3.06E+08,2.70E+09,0,
https://arxiv.org/abs/2106.05974v1,2021,6,10,06/10/2021,121.44,ViT-MoE-H/14 (Every-2),1,11.64,,1.10E+22,3.06E+08,7.20E+09,0,
https://arxiv.org/abs/2106.05974v1,2021,6,10,06/10/2021,121.44,ViT-MoE-15B (Every-2),1,9.65,,5.89E+22,3.06E+08,1.47E+10,0,560
https://arxiv.org/abs/2106.08254,2021,6,15,6/15/2021,121.46,BEiT,0,14.8,NA,3.40E+19,1.28E+06,8.60E+07,0,224
https://arxiv.org/abs/2106.09681,2021,6,17,6/17/2021,121.46,XCiT-L24,0,14,NA,6.42E+20,1.28E+06,1.89E+08,0,384
https://arxiv.org/abs/2106.09681,2021,6,17,6/17/2021,121.46,XCiT-L24,0,15.1,NA,5.54E+19,1.28E+06,1.89E+08,0,224
https://arxiv.org/abs/2106.11297,2021,6,21,6/21/2021,121.48,TokenLearner L/8,1,11.13,,2.98E+20,3.01E+08,4.60E+08,0,
https://arxiv.org/abs/2106.13112,2021,6,28,6/28/2021,121.49,VOLO-D5,0,15.8,NA,7.52E+19,1.28E+06,2.96E+08,0,224
https://arxiv.org/abs/2107.00652,2021,4,1,04/01/2021,121.25,"CSWin-L (384 res,ImageNet-22k pretrain)",1,11.1,NA,1.30E+20,1.52E+07,1.73E+08,0,384
https://arxiv.org/abs/2107.00652v1,2021,7,1,07/01/2021,121.5,"CSWin-L (384 res,ImageNet-22k pretrain)",1,11.1,,,1.52E+07,1.73E+08,0,384
https://arxiv.org/abs/2111.11432,2021,11,22,11/22/2021,121.89,Florence-CoSwin-H,1,9.95,0.98,2.10E+22,9.00E+08,6.37E+08,0,
https://arxiv.org/abs/2201.03545,2022,1,10,01/10/2022,122.03,ConvNeXt-XL,1,13,,7.35E+20,1.52E+07,3.50E+08,0,224
https://arxiv.org/abs/2201.03546,2022,1,10,01/10/2022,122.03,ConvNeXt-L (IN 21k),1,13.4,,4.15E+20,1.52E+07,1.98E+08,0,224
https://arxiv.org/abs/2201.03547,2022,1,10,01/10/2022,122.03,ConvNeXt-L,1,15.7,,3.49E+19,1.28E+06,1.98E+08,0,224
https://arxiv.org/abs/2202.10108,2022,2,21,2/21/2022,122.14,ViTAEv2-B*,1,13.9,,,1.52E+07,8.97E+07,0,
https://arxiv.org/abs/2202.10108,2022,2,21,2/21/2022,122.14,ViTAEv2-B,0,15.4,,,1.28E+06,8.97E+07,0,
https://arxiv.org/abs/2204.01697v4,2022,9,9,09/09/2022,122.69,MaxViT-XL,1,10.47,,6.88E+21,3.06E+08,4.75E+08,0,
https://arxiv.org/abs/2204.01697v4,2022,9,9,09/09/2022,122.69,MaxViT-XL,1,11.3,,2.20E+21,1.52E+07,4.75E+08,0,
https://arxiv.org/abs/2204.03645,2022,4,7,04/07/2022,122.27,DaViT-Gaint,1,9.6,,,1.50E+09,1.44E+09,0,
https://arxiv.org/pdf/1311.2901,2013,11,12,11/12/2013,113.87,"ZFNet (ensemble, 6 convnets)",0,36,14.7,5.41E+17,1.28E+06,6.23E+07,0,256
https://arxiv.org/pdf/1311.2901,2013,11,12,11/12/2013,113.87,"ZFNet (ensemble, 5 convnets)",0,36.7,14.7,3.29E+17,1.28E+06,3.79E+07,0,256
https://arxiv.org/pdf/2209.06794v2.pdf,2022,9,16,9/16/2022,122.71,ViT-e,1,9.1,,1.07E+23,3.00E+09,4.00E+09,0,
https://openreview.net/forum?id=YicbFdNTTy,2020,9,28,9/28/2020,120.74,ViT-L/16,1,14.7,,1.01E+20,1.52E+07,3.07E+08,0,
https://openreview.net/pdf?id=ARyEf6Z77Y,2021,7,8,07/08/2021,121.52,CoE-Large (16 experts),0,19.3,,,1.28E+06,9.53E+07,0,
https://proceedings.neurips.cc/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf,2012,9,1,09/01/2012,112.67,AlexNet,0,36.7,15.3,4.70E+17,1.28E+06,6.00E+07,0,256
